Name,Price,Least Price Source,Rating,Delivery,Ref Link
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)",24998,Flipkart,4.4 out of 5 stars," Tuesday, March 2",https://www.flipkart.com/search?q=Samsung%20Galaxy%20M51%20%28Electric%20Blue%2C%206GB%20RAM%2C%20128GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
New Apple iPhone 12 Mini (128GB) - Black,74900,Flipkart,4.3 out of 5 stars," Tomorrow, February 26",https://www.flipkart.com/search?q=New%20Apple%20iPhone%2012%20Mini%20%28128GB&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",7423,Flipkart,4.1 out of 5 stars," Tomorrow, February 26",https://www.flipkart.com/search?q=Redmi%209A%20%28Nature%20Green%2C%202GB%20Ram%2C%2032GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)",10489,Flipkart,4.0 out of 5 stars," Tomorrow, February 26",https://www.flipkart.com/search?q=Redmi%209%20%28Sky%20Blue%2C%204GB%20RAM%2C%2064GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",13589,Flipkart,4.0 out of 5 stars," Tomorrow, February 26",https://www.flipkart.com/search?q=Oppo%20A31%20%28Fantasy%20White%2C%206GB%20RAM%2C%20128GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Redmi 9A (Midnight Black, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",7875,Flipkart,4.1 out of 5 stars," Saturday, February 27",https://www.flipkart.com/search?q=Redmi%209A%20%28Midnight%20Black%2C%203GB%20Ram%2C%2032GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",13630,Flipkart,4.0 out of 5 stars," Saturday, February 27",https://www.flipkart.com/search?q=Oppo%20A31%20%28Mystery%20Black%2C%206GB%20RAM%2C%20128GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",7578,Flipkart,3.4 out of 5 stars," Tomorrow, February 26",https://www.flipkart.com/search?q=Samsung%20Galaxy%20M01%20Core%20%28Black%2C%202GB%20RAM%2C%2032GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",7899,Flipkart,4.1 out of 5 stars," Tomorrow, February 26",https://www.flipkart.com/search?q=Redmi%209A%20%28Nature%20Green%2C%203GB%20Ram%2C%2032GB%20Storage&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)",5005,Flipkart,2.8 out of 5 stars," Tuesday, March 2",https://www.flipkart.com/search?q=Panasonic%20Eluga%20i7%20%282GB%20RAM%2C%2016GB%20Storage%2C%20Finger%20Print%20Sensor%2C%204000mAh%20Battery&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=off&as=off
