Name,Price,Least Price Source,Rating,Delivery,Ref Link
"LG Gram 10th Gen Intel Core i7-1065G7 17-inch IPS WQXGA (2560X1600) Thin and Light Laptop (8GB/512GB SSD/Windows 10 64-bit/Dark Silver/1.35kg), 17Z90N",0,Flipkart,4.5 out of 5 stars," Saturday, February 27",None
"LG Gram 10th Gen Intel Core i5-1035G7 14-inch IPS Full HD (1920X1080) Thin and Light Laptop (8GB/256GB SSD/Windows 10 64-bit/Dark Silver/999gms), 14Z90N",0,Flipkart,3.8 out of 5 stars," Tomorrow, February 26",None
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",0,Flipkart,4.0 out of 5 stars," Tomorrow, February 26",None
"HP 15 db1069AU 15.6-inch Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black","30,674",Amazon,3.4 out of 5 stars," Sunday, February 28",https://www.amazon.in/HP-db1069AU-15-6-inch-Windows-Graphics/dp/B083RD58F6/ref=sr_1_4?dchild=1&keywords=Laptop&qid=1614269132&sr=8-4
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6-inch HD Thin and Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.7Kg), 81WQ003LIN",0,Flipkart,3.4 out of 5 stars," Sunday, February 28",None
"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN","25,990",Amazon,3.1 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100W9IN/dp/B08JCP96XL/ref=sr_1_6?dchild=1&keywords=Laptop&qid=1614269132&sr=8-6
"ASUS VivoBook 14 (2020) AMD Dual Core Athlon Silver 3050U 14-inch FHD Thin and Light Laptop (4GB/1TB HDD/Integrated Graphics/Windows 10/MS Office 2019/Transparent Silver/1.6 kg), M415DA-EK012TS","26,990",Amazon,3.9 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-M415DA-EK012TS/dp/B08JMMLSYT/ref=sr_1_7?dchild=1&keywords=Laptop&qid=1614269132&sr=8-7
"HP Pavilion 11th Gen Intel Core i5 Thin & Light 14-Inch FHD Laptop (16GB/512GB SSD/Windows 10/MS Office/Backlit/Fingerprint Reader/Natural Silver/1.41kg), 14-dv0054TU",0,Flipkart,4.4 out of 5 stars," Sunday, February 28",None
"Lenovo Legion Y540 9th Gen Intel Core i5 15.6-inch Full HD Gaming Laptop (8GB/512GB SSD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00U6IN",0,Flipkart,3.5 out of 5 stars," Sunday, February 28",None
"HP Chromebook 14a-na0003TU 14-inch Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver",0,Flipkart,4.4 out of 5 stars," Sunday, February 28",None
