Name,Price,Source,Rating,Delivery,Ref Link
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","22,999",Amazon,4.4 out of 5 stars," Tuesday, March 2",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A001905017M56YG5OE548&url=%2FSamsung-Galaxy-Electric-Blue-128GB-Storage%2Fdp%2FB085J1J32G%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DMobile%26qid%3D1614266383%26sr%3D8-1-spons%26psc%3D1&qualifier=1614266383&id=8778479343095406&widgetName=sp_atf
New Apple iPhone 12 Mini (128GB) - Black,"69,900",Amazon,4.3 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0372708NHFR6MBPC8TI&url=%2FNew-Apple-iPhone-Mini-128GB%2Fdp%2FB08L5VG843%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DMobile%26qid%3D1614266383%26sr%3D8-2-spons%26psc%3D1&qualifier=1614266383&id=8778479343095406&widgetName=sp_atf
"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,799",Amazon,4.0 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_3?dchild=1&keywords=Mobile&qid=1614266383&sr=8-3
"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",Amazon,4.1 out of 5 stars," Saturday, February 27",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_4?dchild=1&keywords=Mobile&qid=1614266383&sr=8-4
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","11,990",Amazon,4.0 out of 5 stars," Saturday, February 27",https://www.amazon.in/Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_5?dchild=1&keywords=Mobile&qid=1614266383&sr=8-5
"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,799",Amazon,4.1 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sxin_10?asc_contentid=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&creativeASIN=B086978F2L&cv_ct_cx=Mobile&cv_ct_id=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=Mobile&linkCode=oas&pd_rd_i=B086978F2L&pd_rd_r=97b82394-1980-42ab-8dfb-09aafc268710&pd_rd_w=B6yX4&pd_rd_wg=0N3NH&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=X72PHX9MKBPFJPTNVM39&qid=1614266383&sr=1-1-483c64d8-df78-4008-ae20-e69f683e58b1&tag=httech09-21
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","5,999",Amazon,3.4 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B089MQ622N/ref=sxin_10?asc_contentid=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&creativeASIN=B089MQ622N&cv_ct_cx=Mobile&cv_ct_id=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=Mobile&linkCode=oas&pd_rd_i=B089MQ622N&pd_rd_r=97b82394-1980-42ab-8dfb-09aafc268710&pd_rd_w=B6yX4&pd_rd_wg=0N3NH&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=X72PHX9MKBPFJPTNVM39&qid=1614266383&sr=1-2-483c64d8-df78-4008-ae20-e69f683e58b1&tag=httech09-21
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","25,990",Amazon,4.0 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/Apple-iPhone-Black-32GB-Storage/dp/B01LZKSVRB/ref=sxin_10?asc_contentid=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&creativeASIN=B01LZKSVRB&cv_ct_cx=Mobile&cv_ct_id=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=Mobile&linkCode=oas&pd_rd_i=B01LZKSVRB&pd_rd_r=97b82394-1980-42ab-8dfb-09aafc268710&pd_rd_w=B6yX4&pd_rd_wg=0N3NH&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=X72PHX9MKBPFJPTNVM39&qid=1614266383&sr=1-3-483c64d8-df78-4008-ae20-e69f683e58b1&tag=httech09-21
"Redmi 9A (Midnight Black, 3GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor","6,999",Amazon,4.2 out of 5 stars," Tomorrow, February 26",https://www.amazon.in/Redmi-6A-Black-2GBRAM-Storage/dp/B077PW9V3J/ref=sxin_10?almBrandId=ctnow&asc_contentid=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&ascsubtag=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&creativeASIN=B077PW9V3J&cv_ct_cx=Mobile&cv_ct_id=amzn1.osa.6bba66ad-bb0c-4186-8ce9-7ab91a60efba.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&fpw=alm&keywords=Mobile&linkCode=oas&pd_rd_i=B077PW9V3J&pd_rd_r=97b82394-1980-42ab-8dfb-09aafc268710&pd_rd_w=B6yX4&pd_rd_wg=0N3NH&pf_rd_p=599399c8-267b-4dc7-956e-b752110ed447&pf_rd_r=X72PHX9MKBPFJPTNVM39&qid=1614266383&sr=1-4-483c64d8-df78-4008-ae20-e69f683e58b1&tag=httech09-21
"Panasonic Eluga i7 (2GB RAM, 16GB Storage, Finger Print Sensor, 4000mAh Battery) (Black)","6,799",Amazon,4.1 out of 5 stars," Sunday, February 28",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_6?dchild=1&keywords=Mobile&qid=1614266383&sr=8-6
